,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,group,poscar_name,vacancy_poscar_name,E_vac_min,minimum
605,630,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s35_0,40.0%,-738.08990397,2.5853,0.0168870407500003,4.8274,,-737.80335654,-6.217027500000041,2.5853,rattle,Al2O3_Pna2_1_s35_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s35_0_40.0%,-738.08990397,True
611,636,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s16_0,60.0%,-729.88171465,2.5217,0.0168870407500003,4.8274,,-737.80335654,1.9911618199999328,2.5217,rattle,Al2O3_Pna2_1_s16_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s16_0_60.0%,-729.88171465,True
633,658,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s29_0,-60.0%,-736.12680875,2.1745,0.0168870407500003,4.8274,,-737.80335654,-4.253932280000027,2.1745,rattle,Al2O3_Pna2_1_s29_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s29_0_-60.0%,-736.12680875,True
642,667,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s26_0,40.0%,-736.16239517,1.7284000000000006,0.0168870407500003,4.8274,,-737.80335654,-4.289518699999986,1.7284000000000006,rattle,Al2O3_Pna2_1_s26_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s26_0_40.0%,-736.16239517,True
653,678,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s23_0,30.0%,-732.24938522,2.2112000000000007,0.0168870407500003,4.8274,,-737.80335654,-0.37650875000004014,2.2112000000000007,rattle,Al2O3_Pna2_1_s23_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s23_0_30.0%,-732.24938522,True
660,685,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s34_0,50.0%,-740.80572912,1.8232999999999997,0.0168870407500003,4.8274,,-737.80335654,-8.932852650000042,1.8232999999999997,rattle,Al2O3_Pna2_1_s34_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s34_0_50.0%,-740.80572912,True
674,699,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s37_0,60.0%,-729.89160627,2.3375999999999992,0.0168870407500003,4.8274,,-737.80335654,1.9812701999999707,2.3375999999999992,rattle,Al2O3_Pna2_1_s37_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s37_0_60.0%,-729.89160627,True
689,714,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s21_0,-20.0%,-741.79452581,1.9299999999999995,0.0168870407500003,4.8274,,-737.80335654,-9.92164934,1.9299999999999995,rattle,Al2O3_Pna2_1_s21_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s21_0_-20.0%,-741.79452581,True
699,724,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s17_0,60.0%,-728.14424748,1.3944,0.0168870407500003,4.8274,,-737.80335654,3.728628989999992,1.3944,rattle,Al2O3_Pna2_1_s17_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s17_0_60.0%,-728.14424748,True
715,740,group_13_metal_oxides,Al2O3,Pna2_1,,,2.0,-368.90167827,,,,,,s22_0,-50.0%,-739.05041321,2.1894,0.0168870407500003,4.8274,,-737.80335654,-7.177536740000006,2.1894,rattle,Al2O3_Pna2_1_s22_0,group_13_metal_oxides_Al2O3_Pna2_1,group_13_metal_oxides_Al2O3_Pna2_1_s22_0_-50.0%,-739.05041321,True
