,formula,defectid,site,valence_ratio_Crsyal,Eb_sum,Eb_sum_bva,Vr_max,Eg,Ev
829,O7Sr3Ti2,0111479,2,0.6604632270918129,10.12106507427104,6.684591300559291,-1.9122077365342869,2.0175,5.393
832,O7Sr3Ti2,0111479,3,0.593616510673247,10.12106507427104,6.0080313336856435,-1.9122077365342869,2.0175,5.4334
835,La1O3Y1,0111508,1,0.7384967263805804,11.698733830453214,8.639476636587446,-3.100471243274967,4.4902,6.6611
837,La1O3Y1,0111508,2,0.7209910644842334,11.698733830453214,8.434682557536178,-3.100471243274967,4.4902,6.5344
839,La2O3,0111542,1,0.796427297234365,11.622162175102517,9.256207209136367,-3.100471243274967,3.4842,6.5007
840,La2O7Ti2,0111567,1,0.6932498715231931,10.438642374817007,7.23658748521845,-1.9122077365342869,2.9208,5.9762
854,La2O7Ti2,0111567,2,0.880690466259901,10.438642374817007,9.19321282019795,-1.9122077365342869,2.9208,5.71
868,La2O7Ti2,0111567,3,0.7453619221497982,10.438642374817007,7.7805665451279395,-1.9122077365342869,2.9208,5.684
882,La2O7Ti2,0111567,4,0.7448683315275896,10.438642374817007,7.77541412914314,-1.9122077365342869,2.9208,5.7062
896,La2O7Ti2,0111567,5,0.7341036679978643,10.438642374817007,7.663045656271102,-1.9122077365342869,2.9208,5.7495
910,La2O7Ti2,0111567,6,0.7250908910863745,10.438642374817007,7.568964501288052,-1.9122077365342869,2.9208,5.7906
924,La2O7Ti2,0111567,7,0.9464999433757246,10.438642374817007,9.880174416683737,-1.9122077365342869,2.9208,6.0004
938,La2O7Ti2,0111567,8,0.957299729813837,10.438642374817007,9.992909525035593,-1.9122077365342869,2.9208,5.9466
952,La2O7Ti2,0111567,9,0.9300004510693776,10.438642374817007,9.707942117131736,-1.9122077365342869,2.9208,6.2802
966,La2O7Ti2,0111567,10,0.9883290001544055,10.438642374817007,10.316812981272303,-1.9122077365342869,2.9208,5.7207
980,La2O7Ti2,0111567,11,0.9651849673446227,10.438642374817007,10.075220699659948,-1.9122077365342869,2.9208,5.8706
994,La2O7Ti2,0111567,12,0.8605739770829224,10.438642374817007,8.983223983842594,-1.9122077365342869,2.9208,6.1468
1008,La2O7Ti2,0111567,13,0.7469935355258837,10.438642374817007,7.797598373654862,-1.9122077365342869,2.9208,5.5873
1022,La2O7Ti2,0111567,14,0.7576937766563234,10.438642374817007,7.909294364139832,-1.9122077365342869,2.9208,5.9513
1036,O4Sr1Y2,0111982,1,0.6462166891231791,11.541403495147318,7.458247554468787,-3.067823794114626,3.9198,6.6199
1040,O4Sr1Y2,0111982,2,0.6324407642933048,11.541403495147318,7.299254047488388,-3.067823794114626,3.9198,6.6208
1044,O4Sr1Y2,0111982,3,0.7595507505038535,11.541403495147318,8.766281686606943,-3.067823794114626,3.9198,6.6705
1048,O4Sr1Y2,0111982,4,0.666769046778792,11.541403495147318,7.695450606948796,-3.067823794114626,3.9198,6.6572
1052,O7Ti2Y2,0112035,1,0.7611407861835616,10.59592962209036,8.064994202903545,-1.9122077365342869,2.8858,5.5218
1053,O7Ti2Y2,0112035,1,0.7611407861835616,10.59592962209036,8.064994202903545,-3.290655589970924,2.8858,5.5218
1054,O7Ti2Y2,0112035,2,1.0160212055824562,10.59592962209036,10.765689188903107,-1.9122077365342869,2.8858,6.9369
1055,O7Ti2Y2,0112035,2,1.0160212055824562,10.59592962209036,10.765689188903107,-3.290655589970924,2.8858,6.9369
1056,O5Ti1Y2,0112334,1,0.6129158598390783,11.940386596999831,7.318452317911158,-3.290655589970924,3.4185,6.5839
1057,O5Ti1Y2,0112334,1,0.6129158598390783,11.940386596999831,7.318452317911158,-1.9122077365342869,3.4185,6.5839
1061,O5Ti1Y2,0112334,2,0.8016204593337859,11.940386596999831,9.571658188509986,-3.290655589970924,3.4185,6.2371
1062,O5Ti1Y2,0112334,2,0.8016204593337859,11.940386596999831,9.571658188509986,-1.9122077365342869,3.4185,6.2371
1066,O5Ti1Y2,0112334,3,0.881704805609345,11.940386596999831,10.527896243408167,-3.290655589970924,3.4185,5.8786
1067,O5Ti1Y2,0112334,3,0.881704805609345,11.940386596999831,10.527896243408167,-1.9122077365342869,3.4185,5.8786
1071,O5Ti1Y2,0112334,4,0.7985426265353428,11.940386596999831,9.53490767501565,-3.290655589970924,3.4185,6.1246
1072,O5Ti1Y2,0112334,4,0.7985426265353428,11.940386596999831,9.53490767501565,-1.9122077365342869,3.4185,6.1246
1076,O5Ti1Y2,0112334,5,0.8429336153655443,11.940386596999831,10.064953243071358,-3.290655589970924,3.4185,5.658
1077,O5Ti1Y2,0112334,5,0.8429336153655443,11.940386596999831,10.064953243071358,-1.9122077365342869,3.4185,5.658
