,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,merge_on,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,vr_max,Eb_sum
3460,LiInO2,LiInO2_Va_O1,1.9281999999999997,-2.0632245620833327,1.4302139050490523,1.639714659382878,2.8487626147824177,1,63,LiInO2_Va_O163,-2.0,-1.436255824413595,-1.436255824413595,0.7181279122067975,-1.5993795332042406,7.274900087669636
3463,LiInO2,LiInO2_Va_O1,1.9281999999999997,-2.0632245620833327,1.4302139050490523,1.639714659382878,0.920767508380906,2,63,LiInO2_Va_O163,-2.0,-1.436255824413595,-1.436255824413595,0.7181279122067975,-1.5993795332042406,7.274900087669636
3466,LiInSiO4,LiInSiO4_Va_O1,3.0281,-2.6540285472619045,2.1348981284626527,2.615830962606502,5.793107670000049,0,111,LiInSiO4_Va_O1111,-2.0,-1.978054633768254,-1.978054633768254,0.989027316884127,-1.5993795332042406,9.953751334936525
3469,LiInSiO4,LiInSiO4_Va_O1,3.0281,-2.6540285472619045,2.1348981284626527,2.615830962606502,3.727348483813985,1,111,LiInSiO4_Va_O1111,-2.0,-1.978054633768254,-1.978054633768254,0.989027316884127,-1.5993795332042406,9.953751334936525
3472,LiInSiO4,LiInSiO4_Va_O1,3.0281,-2.6540285472619045,2.1348981284626527,2.615830962606502,0.0980879765459674,2,111,LiInSiO4_Va_O1111,-2.0,-1.978054633768254,-1.978054633768254,0.989027316884127,-1.5993795332042406,9.953751334936525
3475,LiInSiO4,LiInSiO4_Va_O2,3.0281,-2.6540285472619045,1.9533932384269577,2.246415449729202,5.649649280000071,0,95,LiInSiO4_Va_O295,-2.0,-1.916511828181348,-1.916511828181348,0.958255914090674,-1.5993795332042406,9.296608149834421
3478,LiInSiO4,LiInSiO4_Va_O2,3.0281,-2.6540285472619045,1.9533932384269577,2.246415449729202,4.076972809958,1,95,LiInSiO4_Va_O295,-2.0,-1.916511828181348,-1.916511828181348,0.958255914090674,-1.5993795332042406,9.296608149834421
3481,LiInSiO4,LiInSiO4_Va_O2,3.0281,-2.6540285472619045,1.9533932384269577,2.246415449729202,2.6597637921988375,2,95,LiInSiO4_Va_O295,-2.0,-1.916511828181348,-1.916511828181348,0.958255914090674,-1.5993795332042406,9.296608149834421
3484,LiInSiO4,LiInSiO4_Va_O3,3.0281,-2.6540285472619045,1.9401956693506897,2.154711932666509,5.485765700000011,0,107,LiInSiO4_Va_O3107,-2.0,-1.955506742035523,-1.955506742035523,0.9777533710177616,-1.5993795332042406,9.485764526856537
3487,LiInSiO4,LiInSiO4_Va_O3,3.0281,-2.6540285472619045,1.9401956693506897,2.154711932666509,3.974789491554675,1,107,LiInSiO4_Va_O3107,-2.0,-1.955506742035523,-1.955506742035523,0.9777533710177616,-1.5993795332042406,9.485764526856537
