,index,PT_oxide,formula,space_group,E_hi_sym_bulk,n_bulk_hi_sym,n_bulk,E_rattle_bulk,rattle_txt,hi_sym_vac,hi_sym_vac_BD,E_hi_sym_vac,bandgap_hi_sym_vac,rattle_vac_site,rattle_vac_BD,E_rattle_vac,bandgap_rattle_vac,MP_ehull,MP_Eg,vac_rerun,E_vac_rerun,Unnamed: 20,E_hs_transformed,E_rb_transformed,vacancy_formation_energy,Eg,bulk,site,group,poscar_name,E_vac_min,minimum
287,304,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s32_0,30.0%,-2299.99037107,1.3935999999999993,,,,,,,,,,-2309.73013764,,3.809286500000029,1.3935999999999993,higher_symmetry,s32_0,In2O3_Pbca_s32_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2299.99037107,True
298,315,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s24_0,-20.0%,-2300.22441982,1.4847,,,,,,,True,-2299.73647364,,-2309.73013764,,4.063183930000081,1.4847,higher_symmetry,s24_0,In2O3_Pbca_s24_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2300.22441982,True
299,316,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s24_0,-20.0%,-2300.22441982,1.4847,,,,,,,,,,-2309.73013764,,3.575237749999973,1.4847,higher_symmetry,s24_0,In2O3_Pbca_s24_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2300.22441982,True
314,331,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s16_0,30.0%,-2300.00434563,1.4097,,,,,,,True,-2299.63722647,,-2309.73013764,,4.162431100000207,1.4097,higher_symmetry,s16_0,In2O3_Pbca_s16_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2300.00434563,True
315,332,group_13_metal_oxides,In2O3,Pbca,-577.43253441,4.0,,,,s16_0,30.0%,-2300.00434563,1.4097,,,,,,,,,,-2309.73013764,,3.7953119400000777,1.4097,higher_symmetry,s16_0,In2O3_Pbca_s16_0,group_13_metal_oxides_In2O3_Pbca_higher_symmetry,-2300.00434563,True
331,349,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s8_0,0.0%,-2821.74417906,1.3555,,,,,,,True,-2821.58411364,,-2829.68535612,,2.17076241000011,1.3555,higher_symmetry,s8_0,Tl4O3_P2_1__m_s8_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.74417906,True
332,350,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s8_0,0.0%,-2821.74417906,1.3555,,,,,,,,,,-2829.68535612,,2.010696989999973,1.3555,higher_symmetry,s8_0,Tl4O3_P2_1__m_s8_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.74417906,True
339,357,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s12_0,-30.0%,-2821.78727621,1.2695000000000007,,,,,,,True,-2821.51186544,,-2829.68535612,,2.243010610000214,1.2695000000000007,higher_symmetry,s12_0,Tl4O3_P2_1__m_s12_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.78727621,True
340,358,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s12_0,-30.0%,-2821.78727621,1.2695000000000007,,,,,,,,,,-2829.68535612,,1.9675998399999788,1.2695000000000007,higher_symmetry,s12_0,Tl4O3_P2_1__m_s12_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.78727621,True
360,378,group_13_metal_oxides,Tl4O3,P2_1__m,-471.61422602,6.0,,,,s10_0,-60.0%,-2821.81364136,1.4402,,,,,,,True,-2821.62644552,,-2829.68535612,,2.1284305300002178,1.4402,higher_symmetry,s10_0,Tl4O3_P2_1__m_s10_0,group_13_metal_oxides_Tl4O3_P2_1__m_higher_symmetry,-2821.81364136,True
